번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
1,718832.0,경상북도 칠곡군 석적읍 반계리 71-4번지,경상북도 칠곡군 석적읍 호국로 582-2,39848.0,반계숯가마찜질방,329518.461746578,282201.682569342
2,718852.0,경상북도 칠곡군 기산면 행정리 47-2번지,경상북도 칠곡군 기산면 선노로 1082,39915.0,무시로장수마을찜질방,325101.041207774,275060.260588277
3,718821.0,경상북도 칠곡군 지천면 송정리 45번지,경상북도 칠곡군 지천면 송정도당길 67-9,39867.0,솔밭에온가마찜질,332456.755220296,275605.443844884
4,718813.0,경상북도 칠곡군 약목면 복성리 859-1번지,경상북도 칠곡군 약목면 약목로 87-8,39825.0,복성목욕탕,322935.849074216,282378.69097729
5,718811.0,경상북도 칠곡군 약목면 남계리 73-1번지,경상북도 칠곡군 약목면 약목로 49,39827.0,약목목욕탕,323189.818600331,282060.794670841
6,718801.0,경상북도 칠곡군 왜관읍 왜관리 841-15번지 외 6필지,"경상북도 칠곡군 왜관읍 자조1길 9, 3층",39905.0,삼부사우나,325973.960855023,276627.474585736
7,718832.0,경상북도 칠곡군 석적읍 도개리 949-1,경상북도 칠곡군 석적읍 도개6길 30,39847.0,도개온천,332488.743887571,283880.813864272
8,718841.0,경상북도 칠곡군 북삼읍 인평리 678-3번지,경상북도 칠곡군 북삼읍 인강5길 75,39810.0,북삼관광온천,320744.86386836,285987.332143813
9,714901.0,경상북도 청도군 화양읍 삼신리 929번지,경상북도 청도군 화양읍 온천길 23,38324.0,(주)용암온천탕,355543.568685578,244578.923910223
10,714901.0,경상북도 청도군 화양읍 유등리 733-4,경상북도 청도군 화양읍 이슬미로 11,38326.0,알미뜽,353266.717739678,243353.147763326
11,714831.0,경상북도 청도군 풍각면 봉기리 1333-63번지,경상북도 청도군 풍각면 봉기로 147-4,38307.0,풍각목욕탕,346168.865790675,239120.378707811
12,,,경상북도 청도군 화양읍 화양남산길 3,38333.0,남천목욕탕,354757.465293235,240294.198375145
13,718801.0,경상북도 칠곡군 왜관읍 왜관리 201-3번지 외 1필지,경상북도 칠곡군 왜관읍 중앙로 261 (외 1필지),39883.0,에덴사우나,325962.550038699,278420.370842747
