요양기관명,종별코드명,시군구코드명,우편번호,주소,x좌표,y좌표
충남대학교병원,상급종합,대전중구,35015,대전광역시 중구 문화로 282 (대사동),127.415363,36.316908
근로복지공단 대전병원,종합병원,대전대덕구,34384,대전광역시 대덕구 계족로 637  (법동),127.4285488,36.3683976
대전보훈병원,종합병원,대전대덕구,34314,대전광역시 대덕구 대청로82번길 147 147,127.4396939,36.4473164
대전한국병원,종합병원,대전동구,34572,대전광역시 동구 동서대로 1672  (성남동),,
대청병원,종합병원,대전서구,35403,대전광역시 서구 계백로 1322 (정림동),127.3705837,36.3081922
의료법인 영훈의료재단 대전선병원,종합병원,대전중구,34811,대전광역시 중구 목중로 29 (목동),127.4104139,36.3360669
의료법인영훈의료재단 유성선병원,종합병원,대전유성구,34084,대전광역시 유성구 북유성대로 93 (지족동),127.3249507,36.3751715
학교법인 건양교육재단 건양대학교병원,종합병원,대전서구,35365,대전광역시 서구 관저동로 158 (관저동),127.342613,36.306642
학교법인 을지학원 대전을지대학교병원,종합병원,대전서구,35233,대전광역시 서구 둔산서로 95 (둔산동),127.3819903,36.3552891
학교법인가톨릭학원 가톨릭대학교 대전성모병원,종합병원,대전중구,34943,대전광역시 중구 대흥로 64 (대흥동),127.420163,36.323042
가톨릭병원,병원,대전서구,35301,대전광역시 서구 도산로 351  (용문동),127.390352,36.3364138
고운손병원,병원,대전서구,35233,대전광역시 서구 둔산서로 59 (8층),127.3825516,36.3518082
국군대전병원,병원,대전유성구,34059,대전광역시 유성구 자운로 90-0 (자운동),127.3497314,36.3983507
글로벌삼육오엠씨병원,병원,대전서구,35234,"대전광역시 서구 대덕대로 194-0 0동 (둔산동,백마빌딩(7~10층))",127.3782047,36.3501606
글로벌튼튼병원,병원,대전동구,34542,대전광역시 동구 계족로 516  (용전동),127.433248,36.3578747
누리엘병원,병원,대전동구,0,대전광역시 동구 동서대로 1641-  (용전동),,
다빈치병원,병원,대전서구,35262,대전광역시 서구 계룡로553번길 60 (탄방동),127.3855534,36.3455503
대전광역시립정신병원,병원,대전유성구,34206,대전광역시 유성구 진잠옛로135번길 87 (학하동),127.3064375,36.3320583
대전본병원,병원,대전유성구,34188,"대전광역시 유성구 계룡로 114-0  5~6층 (봉명동,대전유성BYC빌딩)",127.3429573,36.3526557
대전센텀병원,병원,대전서구,35209,대전광역시 서구 청사로 234-0  (둔산동),127.3898386,36.3594842
대전우리병원,병원,대전서구,35262,대전광역시 서구 문정로48번길 70  (탄방동),127.3840565,36.3437038
대전코젤병원,병원,대전유성구,34223,"대전광역시 유성구 계백로 927-0 0동 (원내동,코젤랜드)",127.3266814,36.3008979
더블유여성병원,병원,대전서구,35262,대전광역시 서구 문정로48번길 70 (탄방동),127.3840565,36.3437038
마라톤정형외과병원,병원,대전서구,35241,대전광역시 서구 둔산남로 87-0 (둔산동),127.3874471,36.3493481
미래여성병원,병원,대전서구,35234,대전광역시 서구 대덕대로176번길 15  (둔산동),127.3777541,36.3485152
미즈여성병원,병원,대전서구,35262,대전광역시 서구 문정로2번길 95  (탄방동),127.3853747,36.3433025
미즈제일여성병원,병원,대전유성구,34188,대전광역시 유성구 계룡로 126 2~6층 (봉명동),127.344198,36.352516
바로세움병원,병원,대전서구,35241,대전광역시 서구 둔산남로 107 (둔산동),127.3895146,36.3492979
바른생각병원,병원,대전서구,35220,대전광역시 서구 청사로 128 (월평동),127.3778318,36.3595058
밝은누리안과병원,병원,대전서구,0,대전광역시 서구 둔산로 61-0 (둔산동),,
베스티안우송병원,병원,대전동구,34617,대전광역시 동구 동대전로 39-0 베스티안우송병원,127.4389764,36.329087
봉키병원,병원,대전유성구,34188,대전광역시 유성구 계룡로 120-0  (봉명동),127.3437349,36.3526462
비엔피병원,병원,대전유성구,34168,대전광역시 유성구 계룡로 81  (봉명동),127.3398823,36.3544734
사회복지법인 성재원 성세병원,병원,대전유성구,34185,대전광역시 유성구 온천북로33번길 21-32  (봉명동),127.345252,36.357733
사회복지법인 성화 대전재활병원,병원,대전유성구,34185,대전광역시 유성구 문화원로146번길 7-24  (봉명동),,
사회복지법인천성원신탄진한일병원,병원,대전대덕구,34332,대전광역시 대덕구 신탄진로 623  (상서동),127.4240766,36.4340606
새손병원,병원,대전중구,34908,"대전광역시 중구 계룡로 858-0 지하1층,3,4,5",127.4097835,36.3242823
서울여성병원,병원,대전서구,35235,대전광역시 서구 문정로 7 (둔산동),127.380596,36.3454266
세우리병원,병원,대전서구,35229,"대전광역시 서구 둔산북로 36 3,4,5층 (둔산동)",127.3783636,36.3554541
써지탑병원,병원,대전서구,35233,"대전광역시 서구 대덕대로 238 4,5,6층 (둔산동)",127.3799449,36.3541369
에스앤케이병원,병원,대전서구,35235,대전광역시 서구 둔산남로 46-0  4~6층 (둔산동),127.3825798,36.3487003
엠블병원,병원,대전유성구,34195,"대전광역시 유성구 원신흥남로12번길 8-10  2~7층 (원신흥동,MBL빌딩)",127.3384552,36.3329729
연합정형외과병원,병원,대전서구,35264,대전광역시 서구 계룡로 619  (탄방동),127.3916456,36.3400711
을지소아청소년과병원,병원,대전대덕구,34407,"대전광역시 대덕구 송촌북로 60-0 3~7층 (송촌동,을지소아크리닉)",127.436106,36.3675587
의료법인 대전미래의료재단 대전하나병원,병원,대전중구,34964,대전광역시 중구 계룡로 934 (대사동),127.4157668,36.3193607
의료법인 리노의료재단 유성웰니스재활병원,병원,대전유성구,34187,대전광역시 유성구 온천동로 3-0 유성웰니스병원,,
의료법인 밝은마음의료재단 워크런병원,병원,대전유성구,34186,"대전광역시 유성구 온천동로 43-0 본관지하1~3층,9층/신관2~3층",127.350565,36.3553311
의료법인 의명의료재단 대전병원,병원,대전대덕구,34380,대전광역시 대덕구 대전로 1215-0 대전병원,127.4177625,36.362623
의료법인 의명의료재단 마음편한병원,병원,대전중구,34917,대전광역시 중구 중교로 32  (대흥동),127.4235224,36.3250269
의료법인삼영의료재단 둔산병원,병원,대전서구,35230,대전광역시 서구 대덕대로175번길 60 메르하우젠 2층,127.3742301,36.3506732
의료법인성전의료재단 대전신생병원,병원,대전유성구,34206,대전광역시 유성구 진잠옛로135번길 87  (학하동),127.3064375,36.3320583
이안과병원,병원,대전중구,34925,대전광역시 중구 대종로 468 (대흥동),127.4276084,36.3263045
조이병원,병원,대전서구,35262,대전광역시 서구 계룡로553번길 18  (탄방동),127.3854498,36.3436279
코젤병원,병원,대전유성구,34189,"대전광역시 유성구 계룡로 150 6~7층 (봉명동,승호빌딩)",,
킴벨피부과병원,병원,대전서구,0,대전광역시 서구 대덕대로 238-  238,127.3799643,36.3541121
탄방엠블병원,병원,대전서구,35262,대전광역시 서구 문정로48번길 70-0  (탄방동),127.3840565,36.3437038
탄탄병원,병원,대전서구,35262,대전광역시 서구 계룡로553번길 72-0  (탄방동),127.3854354,36.3461031
허리사랑병원,병원,대전서구,35299,대전광역시 서구 계룡로 618 (괴정동),127.3909445,36.339736
남대전요양병원,요양병원,대전동구,34711,대전광역시 동구 산서로1660번길 142 (대별동),127.4630041,36.2834788
다솜요양병원,요양병원,대전동구,34594,대전광역시 동구 우암로 234 (가양동),127.4424833,36.3435108
대전광역시립제1노인전문병원,요양병원,대전유성구,34101,대전광역시 유성구 유성대로 1422 1422,127.3734716,36.4051346
대전광역시립제2노인전문병원,요양병원,대전동구,34712,대전광역시 동구 산내로 300 (하소동),127.4405915,36.2125829
대전그린의료소비자생활협동조합그린요양병원,요양병원,대전동구,34676,대전광역시 동구 옥천로176번길 15-4  (판암동),127.4599056,36.3159498
대전기독요양병원,요양병원,대전동구,34604,대전광역시 동구 계족로 189  (대동),127.4417024,36.3301774
대전동부요양병원,요양병원,대전동구,34521,대전광역시 동구 동부로 150  (용운동),127.4669619,36.3272392
대전보람요양병원,요양병원,대전중구,34929,대전광역시 중구 인창로 35 (문창동),127.4332528,36.3233551
대전연세요양병원,요양병원,대전유성구,34184,대전광역시 유성구 한밭대로492번길 26-30  (봉명동),127.350876,36.358798
대전웰니스요양병원,요양병원,대전대덕구,34425,대전광역시 대덕구 동서대로1777번길 2 (송촌동),127.4434833,36.3547724
둔산엔젤요양병원,요양병원,대전서구,35233,"대전광역시 서구 대덕대로 244-0 901호 (둔산동,건국타워(9~11층))",127.3799883,36.3545564
둔산요양병원,요양병원,대전서구,35241,"대전광역시 서구 둔산중로 38-0 둔산메트로존(9,10층)",127.3872546,36.3499147
백세요양병원,요양병원,대전중구,34934,대전광역시 중구 대종로 437-0 백세병원,127.4283928,36.3238111
벤조인요양병원,요양병원,대전유성구,34077,"대전광역시 유성구 지족로364번길 19 성훈 프라자 2,3층 (지족동)",127.317941,36.3861808
보아스요양병원,요양병원,대전서구,35317,대전광역시 서구 도산로 224 (변동),127.3811392,36.3277745
부모사랑요양병원,요양병원,대전동구,34591,대전광역시 동구 우암로 159 159,127.4350411,36.3405832
사회복지법인 금성복지재단 보광노인전문병원,요양병원,대전동구,34712,대전광역시 동구 산내로560번길 18-11  (상소동),127.4530184,36.2270566
산내효요양병원,요양병원,대전동구,34705,대전광역시 동구 산내로1287번길 71-14 (낭월동),127.4648287,36.2778969
새봄요양병원,요양병원,대전동구,34679,대전광역시 동구 신기로 123-20 (가오동),,
성심요양병원,요양병원,대전서구,35270,대전광역시 서구 갈마로 45-0  (갈마동),127.3698502,36.3483732
세민요양병원,요양병원,대전서구,35306,대전광역시 서구 유등로 491  (용문동),127.3941768,36.33293
온누리좋은요양병원,요양병원,대전서구,35310,대전광역시 서구 동서대로 1147  (가장동),127.3879057,36.3281175
의)밝은마음의료재단 유성한가족요양병원,요양병원,대전유성구,34186,"대전광역시 유성구 온천동로 43-0 본관4~9층/신관1층,4~9층",127.350565,36.3553311
의료법인 남영의료재단  남영노인전문병원,요양병원,대전동구,34625,대전광역시 동구 태전로 39 (정동),127.4288293,36.3337075
의료법인 산수의료재단 웰시티요양병원,요양병원,대전중구,34931,대전광역시 중구 대종로 400-0  (대흥동),127.4307451,36.3208375
의료법인 선사인혜요양병원,요양병원,대전서구,35214,대전광역시 서구 대덕대로317번길 26 (월평동),127.3779233,36.3613338
의료법인 세명의료재단 세명요양병원,요양병원,대전중구,34840,대전광역시 중구 대종로 599 (선화동),127.4175685,36.335057
의료법인 원전의료재단 가양요양병원,요양병원,대전동구,34534,대전광역시 동구 우암로 281  (가양동),127.4469139,36.3462248
의료법인 원전의료재단보니파시오요양병원,요양병원,대전대덕구,34330,대전광역시 대덕구 덕암로 225 225,127.423717,36.440679
