주차장명,주차장유형,소재지도로명주소,소재지지번주소,위도,경도,제공기관명
탄방동탄방역주변,노상,대전광역시 서구 계룡로553번길38,대전광역시 서구 탄방동667,,,대전광역시
유성IC만남의광장,노상,대전광역시 유성구 월드컵대로 31 (장대동),대전광역시 유성구 장대동 240-43,,,대전광역시
세천7 공한지 주차장,노외,,대전광역시 동구 세천동 47-11,,,대전광역시
세천8 공한지 주차장,노외,,대전광역시 동구 세천동 76-1,,,대전광역시
신도시장 주차장,노외,대전광역시 동구 비래서로42번길,대전광역시 동구 가양2동 39-6,,,대전광역시
신상동 안아감마을 공동주차장,노외,,대전광역시 동구 신상동 150-1,,,대전광역시
신하동 마을공영주차장,노외,,대전광역시 동구 신하동 343-15,,,대전광역시
신한은행 노외공영주차장(제2주차장),노외,대전광역시 동구 대전로 779번길 8,대전광역시 동구 원동 51-12,,,대전광역시
역전시장 공영주차장,노외,,대전광역시 동구 원동 31-1,,,대전광역시
용운시장 주차장,노외,대전광역시 동구 새울로 91번길,대전광역시 동구 용운 349-4,,,대전광역시
용전동 제2공영주차장(BBS부지),노외,대전광역시 동구 동서대로,대전광역시 동구 용전동 62-21,,,대전광역시
용전동노외공영주차장,노외,대전광역시 동구 동서대로 1659,대전광역시 동구 용전동 143-22,,,대전광역시
용전동주민센터옆공영주차장,노외,대전광역시 동구 계족로 517번길,대전광역시 동구 용전동 28-34,,,대전광역시
인동물류센터주변공영주차장,노외,대전광역시 동구 대전로 679,대전광역시 동구 인동 44-10,,,대전광역시
인동시장노외공영주차장,노외,대전광역시 동구 대전천동로,대전광역시 동구 인동 30-1,,,대전광역시
정동 노외공영주차장,노외,대전광역시 동구 역전3길,대전광역시 동구 정동 3-4,,,대전광역시
중앙시장 공영주차빌딩 주차장(제1주차장),노외,대전광역시 동구 중앙로 200번길 70,대전광역시 동구 원동 85-1,,,대전광역시
중앙시장 제3공영주차장,노외,대전광역시 동구 대전로 791번길,대전광역시 동구 중동93-2,,,대전광역시
천동 주차장,노외,,대전광역시 동구 천동 513,,,대전광역시
판암주공5·6단지주변공영주차장,노외,대전광역시 동구 동부로 73,대전광역시 동구 판암동 237-2,,,대전광역시
한약·인쇄거리 노외공영주차장,노외,대전광역시 동구 태전로 27,"대전광역시 동구 중동 9-5, 10-16",,,대전광역시
대신동 하상주차장,노외,"대전광역시 동구 대동천좌안, 대동천우안",대전광역시 동구 대동천,,,대전광역시
선화교 하상주차장(삼성동),노외,대전광역시 동구 대전천동로,대전광역시 동구 대전천,,,대전광역시
소제동 하상주차장,노외,"대전광역시 동구 대동천좌안, 대동천우안",대전광역시 동구 대동천,,,대전광역시
유천동제1노외,노외,,대전광역시 중구 유천동 276-18,36.312927514,127.3951988,대전광역시 중구
대성동 노외공영주차장,노외,,대전광역시 동구 대성동 429,,,대전광역시
대전천변 노외공영주차장,노외,대전광역시 동구 선화로 192번길,대전광역시 동구 중동 51-16,,,대전광역시
대전천주변노외공영주차장,노외,대전광역시 동구 선화로192번길,대전광역시 동구 중동 51-16,,,대전광역시
세천4 공한지 주차장,노외,대전광역시 동구 세천공원로35번길,대전광역시 동구 세천동 321-4,,,대전광역시
세천5 공한지 주차장,노외,대전광역시 동구 세천로,대전광역시 동구 세천동 18-21,,,대전광역시
세천6 공한지 주차장,노외,,대전광역시 동구 세천동 35-2,,,대전광역시
대흥동제4노외,노외,,대전광역시 중구 대흥동 480,36.32610814,127.4225566,대전광역시 중구
부사시장공영주차장,노외,대전광역시 중구 보문로48번길 13,대전광역시 중구 부사동 150-1,36.31391761,127.4350412,대전광역시 중구
부사동제4노외,노외,대전광역시 중구 대종로 315번길 34-17,대전광역시 중구 부사동 133-2,36.3143023,127.4332909,대전광역시 중구
안영동제4노외,노외,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-7,36.28533721,127.3844931,대전광역시 중구
오류동제3노외,노외,대전광역시 중구 보문산공원로497번길 81-7,대전광역시 중구 대사동 197-6,36.31047717,127.4195651,대전광역시 중구
석교동제2노외,노외,대전광역시 중구 보문로47번길 146,대전광역시 중구 석교동 12-10,36.30986902,127.4425659,대전광역시 중구
대사동제3노외,노외,대전광역시 중구 보문산공원로 497번길 72,대전광역시 중구 대사동 142-14,36.31094828,127.4189042,대전광역시 중구
대사동제4노외,노외,,대전광역시 중구 대사동 233-38,36.31678122,127.4208903,대전광역시 중구
대사동제5노외,노외,,대전광역시 중구 대사동 233-191,36.3169709,127.4209979,대전광역시 중구
선화동제4노외,노외,,대전광역시 중구 선화동 381-108,36.32465605,127.4167534,대전광역시 중구
문화2동제1노외,노외,대전광역시 중구 보문산로171번길 34,대전광역시 중구 문화동 571-14,36.30726836,127.3991626,대전광역시 중구
문창시장제2공영주자창,노외,,대전광역시 중구 문창동 122-9,36.31553812,127.436165,대전광역시 중구
목동제2노외,노외,대전광역시 중구 동서대로1352번길 29,대전광역시 중구 목동 131-10,36.32893928,127.4099207,대전광역시 중구
