구분,시설명,구,동,주소,위도,경도
음식점,미락푸드,유성구,가정동,가정동 138,36.3842939059503,127.361683586129
음식점,본푸드서비스(주) 한국연구재단점,유성구,가정동,가정동 180,37.5261422838567,126.672569856478
음식점,맛담,유성구,가정동,가정동 161,37.5279254406837,126.675537528463
음식점,한국전자통신연구원노동조합소비조합,유성구,가정동,가정동 161,37.5279254406837,126.675537528463
음식점,에트리에 카페,유성구,가정동,가정동 161,37.5279254406837,126.675537528463
음식점,한국전자통신연구원신협(한식),유성구,가정동,가정동 161,37.5279254406837,126.675537528463
음식점,한국전자통신연구원신협(양식),유성구,가정동,가정동 161,37.5279254406837,126.675537528463
음식점,디에떼에스프레소 에트리융합점,유성구,가정동,가정동 161,37.5279254406837,126.675537528463
음식점,웰스프레쉬,유성구,가정동,가정동 161,37.5279254406837,126.675537528463
음식점,지질연구원 까페베네,유성구,가정동,가정동 30,37.5391281927372,126.671731452417
음식점,주)아워홈LG유플러스연구원점,유성구,가정동,가정동 34,36.3774652011209,127.367087560524
음식점,한울에프앤에스 한국조폐공사본사점,유성구,가정동,가정동 35,37.5390321551619,126.669666695084
음식점,디 에떼 에스프레소 화폐박물관점,유성구,가정동,가정동 35,37.5390321551619,126.669666695084
음식점,"더 쉼,",유성구,가정동,가정동 37,37.5380683858936,126.670805467662
음식점,(주)케이엘그룹카이스트,유성구,가정동,가정동 2,37.5331560409892,126.676865977985
음식점,갑동숯불민물장어,유성구,갑동,갑동 400,36.3615440655067,127.288230510086
음식점,대사봉무쇠솥밥,유성구,갑동,갑동 327,36.3633836541681,127.290010358382
음식점,갑동버섯골,유성구,갑동,갑동 385,36.3615195264393,127.296200717625
음식점,아레쪼,유성구,갑동,갑동 400,36.3615440655067,127.288230510086
음식점,더마루,유성구,갑동,갑동 327,36.3633836541681,127.290010358382
음식점,알프하임,유성구,갑동,갑동 328,36.3631135159237,127.290070526694
음식점,알프하임,유성구,갑동,갑동 328,36.3631135159237,127.290070526694
음식점,대한민국전몰군경유족회,유성구,갑동,갑동 3,36.3702113797285,127.303836228277
음식점,파쏘게러지,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,대왕산삼갈비탕,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,수통골돌짜장,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,도자카페,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,수통골능이버섯백숙,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,까페로맨틱 브리즈,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,초원,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,명란밥상,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,(주)마라소,유성구,계산동,계산동 352,36.3453697381555,127.292091274521
음식점,이강산 가든,유성구,계산동,계산동 273,36.3391177421544,127.297598555222
음식점,선비꼬마김밥(학하점),유성구,계산동,계산동 721,36.3432868671296,127.301694991985
음식점,별봉쎄시봉,유성구,계산동,계산동 737,37.5444951509966,126.718074427299
음식점,대경한우정육식당,유성구,계산동,계산동 737,37.5444951509966,126.718074427299
음식점,계룡관,유성구,계산동,학하서로10번길 10,36.3410242779702,127.304254595475
음식점,송림가든,유성구,계산동,학하서로10번길 22,36.3415301692624,127.304620255503
음식점,대부도칼국수,유성구,계산동,계산동 729,37.5442028153074,126.7158722677
음식점,드시오,유성구,계산동,계산동 729,37.5442028153074,126.7158722677
음식점,토끼부엌,유성구,계산동,계산동 731,37.5442401686502,126.717170025888
음식점,전광수커피하우스 대전점,유성구,계산동,계산동 266,36.3398004649705,127.298361714961
음식점,뚜레쥬르 관평롯데점,유성구,관평동,관평동 884,36.4255395983067,127.387566784902
음식점,꿈,유성구,관평동,관평동 844,36.425862461873,127.38810107886
음식점,혼 참치,유성구,관평동,관평동 875,36.4264605469899,127.388244895393
