index,요양기관명,종별코드명,시군구코드명,동,주소,우편번호,x좌표,y좌표
0,충남대학교병원,상급종합,대전중구,대사동,대전광역시 중구 문화로 282 (대사동),35015,127.415363,36.316908
1,근로복지공단 대전병원,종합병원,대전대덕구,법동,대전광역시 대덕구 계족로 637 (법동),34384,127.4285488,36.3683976
2,대전보훈병원,종합병원,대전대덕구,신탄진동,대전광역시 대덕구 대청로82번길 147,34314,127.4396939,36.4473164
4,대청병원,종합병원,대전서구,정림동,대전광역시 서구 계백로 1322 (정림동),35403,127.3705837,36.3081922
5,의료법인 영훈의료재단 대전선병원,종합병원,대전중구,목동,대전광역시 중구 목중로 29 (목동),34811,127.4104139,36.3360669
6,의료법인영훈의료재단 유성선병원,종합병원,대전유성구,지족동,대전광역시 유성구 북유성대로 93 (지족동),34084,127.3249507,36.3751715
7,학교법인 건양교육재단 건양대학교병원,종합병원,대전서구,관저동,대전광역시 서구 관저동로 158 (관저동),35365,127.342613,36.306642
8,학교법인 을지학원 대전을지대학교병원,종합병원,대전서구,둔산동,대전광역시 서구 둔산서로 95 (둔산동),35233,127.3819903,36.3552891
9,학교법인가톨릭학원 가톨릭대학교 대전성모병원,종합병원,대전중구,대흥동,대전광역시 중구 대흥로 64 (대흥동),34943,127.420163,36.323042
10,가톨릭병원,병원,대전서구,용문동,대전광역시 서구 도산로 351 (용문동),35301,127.390352,36.3364138
11,고운손병원,병원,대전서구,둔산동,대전광역시 서구 둔산서로 59 (8층),35233,127.3825516,36.3518082
12,글로벌삼육오엠씨병원,병원,대전서구,둔산동,"대전광역시 서구 대덕대로 194-0 0동 (둔산동,백마빌딩(7~10층))",35234,127.3782047,36.3501606
13,글로벌튼튼병원,병원,대전동구,용전동,대전광역시 동구 계족로 516 (용전동),34542,127.433248,36.3578747
15,다빈치병원,병원,대전서구,탄방동,대전광역시 서구 계룡로553번길 60 (탄방동),35262,127.3855534,36.3455503
16,대전광역시립정신병원,병원,대전유성구,학하동,대전광역시 유성구 진잠옛로135번길 87 (학하동),34206,127.3064375,36.3320583
17,대전본병원,병원,대전유성구,봉명동,대전광역시 유성구 계룡로 114-0,34188,127.3429573,36.3526557
18,대전센텀병원,병원,대전서구,둔산동,대전광역시 서구 청사로 234-0 (둔산동),35209,127.3898386,36.3594842
19,대전우리병원,병원,대전서구,탄방동,대전광역시 서구 문정로48번길 70 (탄방동),35262,127.3840565,36.3437038
20,대전코젤병원,병원,대전유성구,원내동,"대전광역시 유성구 계백로 927-0 0동 (원내동,코젤랜드)",34223,127.3266814,36.3008979
21,더블유여성병원,병원,대전서구,탄방동,대전광역시 서구 문정로48번길 70 (탄방동),35262,127.3840565,36.3437038
22,마라톤정형외과병원,병원,대전서구,둔산동,대전광역시 서구 둔산남로 87-0 (둔산동),35241,127.3874471,36.3493481
23,미래여성병원,병원,대전서구,둔산동,대전광역시 서구 대덕대로176번길 15 (둔산동),35234,127.3777541,36.3485152
24,미즈여성병원,병원,대전서구,탄방동,대전광역시 서구 문정로2번길 95 (탄방동),35262,127.3853747,36.3433025
25,미즈제일여성병원,병원,대전유성구,봉명동,대전광역시 유성구 계룡로 126,34188,127.344198,36.352516
26,바로세움병원,병원,대전서구,둔산동,대전광역시 서구 둔산남로 107 (둔산동),35241,127.3895146,36.3492979
27,바른생각병원,병원,대전서구,월평동,대전광역시 서구 청사로 128 (월평동),35220,127.3778318,36.3595058
29,베스티안우송병원,병원,대전동구,신안동,대전광역시 동구 동대전로 39-0 베스티안우송병원,34617,127.4389764,36.329087
30,봉키병원,병원,대전유성구,봉명동,대전광역시 유성구 계룡로 120-0 (봉명동),34188,127.3437349,36.3526462
31,비엔피병원,병원,대전유성구,봉명동,대전광역시 유성구 계룡로 81 (봉명동),34168,127.3398823,36.3544734
32,사회복지법인 성재원 성세병원,병원,대전유성구,봉명동,대전광역시 유성구 온천북로33번길 21-32 (봉명동),34185,127.345252,36.357733
34,사회복지법인천성원신탄진한일병원,병원,대전대덕구,상서동,대전광역시 대덕구 신탄진로 623 (상서동),34332,127.4240766,36.4340606
35,새손병원,병원,대전중구,오류동,"대전광역시 중구 계룡로 858-0 지하1층,3,4,5",34908,127.4097835,36.3242823
36,서울여성병원,병원,대전서구,둔산동,대전광역시 서구 문정로 7 (둔산동),35235,127.380596,36.3454266
37,세우리병원,병원,대전서구,둔산동,대전광역시 서구 둔산북로 36,35229,127.3783636,36.3554541
38,써지탑병원,병원,대전서구,둔산동,"대전광역시 서구 대덕대로 238 4,5,6층 (둔산동)",35233,127.3799449,36.3541369
39,에스앤케이병원,병원,대전서구,둔산동,대전광역시 서구 둔산남로 46-0 4~6층 (둔산동),35235,127.3825798,36.3487003
40,엠블병원,병원,대전유성구,원신흥동,대전광역시 유성구 원신흥남로12번길 8-10,34195,127.3384552,36.3329729
41,연합정형외과병원,병원,대전서구,탄방동,대전광역시 서구 계룡로 619 (탄방동),35264,127.3916456,36.3400711
42,을지소아청소년과병원,병원,대전대덕구,송촌동,대전광역시 대덕구 송촌북로 60-0,34407,127.436106,36.3675587
43,의료법인 대전미래의료재단 대전하나병원,병원,대전중구,대사동,대전광역시 중구 계룡로 934 (대사동),34964,127.4157668,36.3193607
45,의료법인 밝은마음의료재단 워크런병원,병원,대전유성구,봉명동,"대전광역시 유성구 온천동로 43-0 본관지하1~3층,9층/신관2~3층",34186,127.350565,36.3553311
46,의료법인 의명의료재단 대전병원,병원,대전대덕구,오정동,대전광역시 대덕구 대전로 1215-0 대전병원,34380,127.4177625,36.362623
47,의료법인 의명의료재단 마음편한병원,병원,대전중구,대흥동,대전광역시 중구 중교로 32 (대흥동),34917,127.4235224,36.3250269
48,의료법인삼영의료재단 둔산병원,병원,대전서구,둔산동,대전광역시 서구 대덕대로175번길 60 메르하우젠 2층,35230,127.3742301,36.3506732
49,의료법인성전의료재단 대전신생병원,병원,대전유성구,학하동,대전광역시 유성구 진잠옛로135번길 87 (학하동),34206,127.3064375,36.3320583
50,이안과병원,병원,대전중구,대흥동,대전광역시 중구 대종로 468 (대흥동),34925,127.4276084,36.3263045
