OBJECTID,adm_nm,adm_cd,adm_cd2,sgg,sido,sidonm,sggnm,adm_cd8,dong_nm,흡연위험지수,adm_nm
1008,대전광역시 동구 효동,2501053,3011053000,30110,30,대전광역시,동구,25010530,효동,2.629599525,대전광역시
1009,대전광역시 동구 판암1동,2501055,3011055100,30110,30,대전광역시,동구,25010550,판암1동,0.783610584,대전광역시
1010,대전광역시 동구 판암2동,2501056,3011055200,30110,30,대전광역시,동구,25010560,판암2동,0.680148012,대전광역시
1011,대전광역시 동구 용운동,2501057,3011056000,30110,30,대전광역시,동구,25010570,용운동,3.028106511,대전광역시
1012,대전광역시 동구 자양동,2501060,3011059000,30110,30,대전광역시,동구,25010600,자양동,2.074211925,대전광역시
1013,대전광역시 동구 가양1동,2501063,3011062000,30110,30,대전광역시,동구,25010630,가양1동,1.476759495,대전광역시
1014,대전광역시 동구 가양2동,2501064,3011063000,30110,30,대전광역시,동구,25010640,가양2동,2.416525508,대전광역시
1015,대전광역시 동구 용전동,2501065,3011064000,30110,30,대전광역시,동구,25010650,용전동,2.942515515,대전광역시
1016,대전광역시 동구 홍도동,2501068,3011067000,30110,30,대전광역시,동구,25010680,홍도동,1.636324334,대전광역시
1017,대전광역시 동구 대청동,2501073,3011072500,30110,30,대전광역시,동구,25010730,대청동,0.241177033,대전광역시
1018,대전광역시 동구 산내동,2501075,3011074000,30110,30,대전광역시,동구,25010750,산내동,1.208055178,대전광역시
1019,대전광역시 동구 중앙동,2501076,3011051500,30110,30,대전광역시,동구,25010760,중앙동,1.478984514,대전광역시
1020,대전광역시 동구 신인동,2501077,3011054500,30110,30,대전광역시,동구,25010770,신인동,1.082926593,대전광역시
1021,대전광역시 동구 대동,2501078,3011058500,30110,30,대전광역시,동구,25010780,대동,1.296313152,대전광역시
1022,대전광역시 동구 성남동,2501079,3011066500,30110,30,대전광역시,동구,25010790,성남동,1.349947818,대전광역시
1023,대전광역시 동구 삼성동,2501080,3011069500,30110,30,대전광역시,동구,25010800,삼성동,1.674861024,대전광역시
1024,대전광역시 중구 은행선화동,2502051,3014053500,30140,30,대전광역시,중구,25020510,은행선화동,5.456613841,대전광역시
1025,대전광역시 중구 목동,2502053,3014055000,30140,30,대전광역시,중구,25020530,목동,1.351010457,대전광역시
1026,대전광역시 중구 중촌동,2502054,3014056000,30140,30,대전광역시,중구,25020540,중촌동,2.101935966,대전광역시
1027,대전광역시 중구 대흥동,2502055,3014057500,30140,30,대전광역시,중구,25020550,대흥동,3.613999673,대전광역시
1028,대전광역시 중구 문창동,2502056,3014060500,30140,30,대전광역시,중구,25020560,문창동,0.821061271,대전광역시
1029,대전광역시 중구 석교동,2502057,3014062000,30140,30,대전광역시,중구,25020570,석교동,2.039015253,대전광역시
1030,대전광역시 중구 대사동,2502058,3014063000,30140,30,대전광역시,중구,25020580,대사동,0.935186791,대전광역시
1031,대전광역시 중구 부사동,2502059,3014064000,30140,30,대전광역시,중구,25020590,부사동,1.158721623,대전광역시
1032,대전광역시 중구 용두동,2502060,3014065500,30140,30,대전광역시,중구,25020600,용두동,1.259049717,대전광역시
1033,대전광역시 중구 오류동,2502062,3014067000,30140,30,대전광역시,중구,25020620,오류동,1.95362674,대전광역시
1034,대전광역시 중구 태평1동,2502063,3014068000,30140,30,대전광역시,중구,25020630,태평1동,1.40128865,대전광역시
1035,대전광역시 중구 태평2동,2502064,3014069000,30140,30,대전광역시,중구,25020640,태평2동,1.71596524,대전광역시
1036,대전광역시 중구 유천1동,2502065,3014070000,30140,30,대전광역시,중구,25020650,유천1동,2.424472409,대전광역시
1037,대전광역시 중구 유천2동,2502066,3014071000,30140,30,대전광역시,중구,25020660,유천2동,2.312260456,대전광역시
1038,대전광역시 중구 문화1동,2502067,3014072000,30140,30,대전광역시,중구,25020670,문화1동,2.724649874,대전광역시
1039,대전광역시 중구 문화2동,2502068,3014073000,30140,30,대전광역시,중구,25020680,문화2동,2.320958227,대전광역시
1040,대전광역시 중구 산성동,2502069,3014074000,30140,30,대전광역시,중구,25020690,산성동,6.947809212,대전광역시
1041,대전광역시 서구 복수동,2503051,3017051000,30170,30,대전광역시,서구,25030510,복수동,2.66963106,대전광역시
1042,대전광역시 서구 도마1동,2503052,3017052000,30170,30,대전광역시,서구,25030520,도마1동,3.082113629,대전광역시
1043,대전광역시 서구 도마2동,2503053,3017053000,30170,30,대전광역시,서구,25030530,도마2동,2.346399985,대전광역시
1044,대전광역시 서구 정림동,2503054,3017053500,30170,30,대전광역시,서구,25030540,정림동,1.832887944,대전광역시
1045,대전광역시 서구 변동,2503055,3017054000,30170,30,대전광역시,서구,25030550,변동,2.793944776,대전광역시
1046,대전광역시 서구 용문동,2503056,3017055000,30170,30,대전광역시,서구,25030560,용문동,4.258888141,대전광역시
1047,대전광역시 서구 탄방동,2503057,3017055500,30170,30,대전광역시,서구,25030570,탄방동,6.918778006,대전광역시
1048,대전광역시 서구 둔산1동,2503059,3017063000,30170,30,대전광역시,서구,25030590,둔산1동,3.701571637,대전광역시
1049,대전광역시 서구 둔산2동,2503060,3017064000,30170,30,대전광역시,서구,25030600,둔산2동,5.913980854,대전광역시
1050,대전광역시 서구 괴정동,2503061,3017056000,30170,30,대전광역시,서구,25030610,괴정동,8.310690998,대전광역시
1051,대전광역시 서구 가장동,2503062,3017057000,30170,30,대전광역시,서구,25030620,가장동,2.855614709,대전광역시
1052,대전광역시 서구 내동,2503063,3017057500,30170,30,대전광역시,서구,25030630,내동,4.034761301,대전광역시
1053,대전광역시 서구 갈마1동,2503064,3017058100,30170,30,대전광역시,서구,25030640,갈마1동,5.311971553,대전광역시
1054,대전광역시 서구 갈마2동,2503065,3017058200,30170,30,대전광역시,서구,25030650,갈마2동,11.18949069,대전광역시
1055,대전광역시 서구 월평1동,2503066,3017058600,30170,30,대전광역시,서구,25030660,월평1동,6.246516769,대전광역시
1056,대전광역시 서구 월평2동,2503067,3017058700,30170,30,대전광역시,서구,25030670,월평2동,2.027796407,대전광역시
1057,대전광역시 서구 월평3동,2503068,3017058800,30170,30,대전광역시,서구,25030680,월평3동,1.94978231,대전광역시
1058,대전광역시 서구 만년동,2503069,3017065000,30170,30,대전광역시,서구,25030690,만년동,2.007629699,대전광역시
1059,대전광역시 서구 가수원동,2503075,3017059000,30170,30,대전광역시,서구,25030511,가수원동,1.151695262,대전광역시
1059,대전광역시 서구 도안동,2503076,3017059300,30170,30,대전광역시,서구,25030512,도안동,2.565492815,대전광역시
1060,대전광역시 서구 기성동,2503071,3017060000,30170,30,대전광역시,서구,25030710,기성동,0.556123013,대전광역시
