구,행정동,경도,위도,이름,구분
대덕구,대화동,127.40956,36.36457,대화동 오광무지개아파트 놀이터,금연구역
대덕구,대화동,127.41325,36.363064,대화동 소라아파트 놀이터,금연구역
대덕구,대화동,127.41747,36.366535,세원풍남아파트 놀이터,금연구역
대덕구,대화동,127.41659,36.363914,대화동 두레아파트 놀이터,금연구역
대덕구,대화동,127.41319,36.363377,서현어린이집 실외놀이터,금연구역
대덕구,대화동,127.41212,36.364002,문화어린이놀이터,금연구역
대덕구,대화동,127.41508,36.363937,대화쌈지어린이놀이터,금연구역
대덕구,대화동,127.414696,36.36548,대화어린이놀이터,금연구역
대덕구,대화동,127.4179,36.367435,대화동 금성백조아파트단지내 놀이터,금연구역
대덕구,대화동,127.41161,36.366776,시립둥지어린이집 놀이터,금연구역
대덕구,덕암동,127.42615,36.441265,신탄진 리치빌아파트 놀이터,금연구역
대덕구,덕암동,127.426544,36.440186,대덕종합사회복지관어린이집 실외놀이터,금연구역
대덕구,덕암동,127.42214,36.443974,덕암어린이집 실외놀이터,금연구역
대덕구,덕암동,127.422905,36.444614,덕암영아어린이집 실외놀이터,금연구역
대덕구,덕암동,127.42469,36.436283,이지어린이집 실외놀이터,금연구역
대덕구,덕암동,127.426155,36.442448,덕암어린이공원,금연구역
대덕구,덕암동,127.42144,36.44294,새뜸어린이공원,금연구역
대덕구,덕암동,127.42375,36.438744,행복한마을신일유토빌 놀이터1 (107동 앞),금연구역
대덕구,덕암동,127.42375,36.438744,행복한마을신일유토빌 놀이터2 (102동 앞),금연구역
대덕구,덕암동,127.42676,36.442516,하늘별어린이집 놀이터,금연구역
대덕구,덕암동,127.42287,36.435555,무지개공원놀이터,금연구역
대덕구,덕암동,127.42505,36.426,대창아파트 어린이놀이터,금연구역
대덕구,덕암동,127.42694,36.425354,코레일대전어린이집놀이터,금연구역
대덕구,덕암동,127.42399,36.44166,아이행복어린이집,금연구역
대덕구,덕암동,127.4203,36.43542,새일어린이집,금연구역
대덕구,덕암동,127.424484,36.423885,대전상서행복주택아파트 101동 102동 사이 어린이 놀이터,금연구역
대덕구,목상동,127.412445,36.44807,동원상록수아파트 101동옆 놀이터,금연구역
대덕구,목상동,127.40468,36.44666,문평어린이집 실외놀이터,금연구역
대덕구,목상동,127.412735,36.44624,목상어린이공원,금연구역
대덕구,목상동,127.41069,36.446404,여태말어린이공원,금연구역
대덕구,목상동,127.41132,36.442726,을미기근린공원,금연구역
대덕구,목상동,127.393364,36.443672,푸른숲어린이집 놀이터,금연구역
대덕구,목상동,127.41649,36.4484,한국타이어동그라미대전어린이집놀이터,금연구역
대덕구,목상동,127.41568,36.446186,평화로운아파트 제1놀이터,금연구역
대덕구,목상동,127.41568,36.446186,평화로운아파트 제2놀이터,금연구역
대덕구,목상동,127.41568,36.446186,평화로운아파트 피로티마당 놀이터,금연구역
대덕구,목상동,127.412445,36.44807,동원상록수아파트 관리사무소옆 놀이터,금연구역
대덕구,목상동,127.41234,36.444393,목상 생태놀이터,금연구역
대덕구,법1동,127.424736,36.370605,중리주공 301동 앞 놀이터,금연구역
대덕구,법1동,127.424736,36.370605,중리주공 303동 앞 놀이터,금연구역
대덕구,법1동,127.424736,36.370605,중리주공 304동 앞 놀이터,금연구역
대덕구,법1동,127.42737,36.374016,삼정하이츠아파트 14동앞 놀이터,금연구역
대덕구,법1동,127.42737,36.374016,삼정하이츠아파트 2동옆 놀이터,금연구역
대덕구,법1동,127.42581,36.374096,영진로얄아파트 놀이터,금연구역
대덕구,법1동,127.42606,36.373325,삼호아파트 놀이터,금연구역
대덕구,법1동,127.4257,36.36915,주공2단지 아파트 놀이터 201동앞,금연구역
대덕구,법1동,127.4257,36.36915,주공2단지 아파트 놀이터 209동앞,금연구역
대덕구,법1동,127.42782,36.37002,유원아파트 놀이터,금연구역
대덕구,법1동,127.42631,36.370716,매봉어린이공원,금연구역
대덕구,법1동,127.424736,36.372414,바우배기 어린이공원,금연구역
대덕구,법1동,127.42631,36.370716,범샛골어린이공원,금연구역
대덕구,법1동,127.426765,36.370758,e편한세상 대전 법동 어린이놀이터 4(어린이집 뒤),금연구역
대덕구,법2동,127.43393,36.369335,삼익소월아파트 어린이놀이터 102동,금연구역
대덕구,법2동,127.43393,36.369335,삼익소월아파트 어린이놀이터 107동,금연구역
대덕구,법2동,127.430244,36.369034,보람아파트 놀이터 109동앞,금연구역
대덕구,법2동,127.430244,36.369034,보람아파트 놀이터 105동앞,금연구역
대덕구,법2동,127.430244,36.369034,보람아파트 놀이터 111동앞,금연구역
대덕구,법2동,127.430244,36.369034,보람아파트 놀이터 102동앞,금연구역
대덕구,법2동,127.4358,36.365925,그린타운아파트 놀이터 101동옆,금연구역
대덕구,법2동,127.4358,36.365925,그린타운아파트 놀이터 109동앞,금연구역
대덕구,법2동,127.432236,36.37003,한마음어린이공원,금연구역
대덕구,법2동,127.4358,36.365925,범바위어린이공원,금연구역
대덕구,법2동,127.428856,36.374256,증척골어린이공원,금연구역
대덕구,법2동,127.43172,36.365417,효심어린이공원,금연구역
대덕구,법2동,127.42977,36.374638,송촌체육공원 어린이놀이터1,금연구역
대덕구,법2동,127.431305,36.37095,한마음아파트 102동 놀이터,금연구역
대덕구,법2동,127.431305,36.37095,한마음아파트 104동 놀이터(포설제외),금연구역
대덕구,법2동,127.43256,36.36704,소롱골놀이터,금연구역
대덕구,법2동,127.42823,36.374844,대전광역시동부여성가족원어린이집 놀이터,금연구역
대덕구,법2동,127.4358,36.365925,그린타운아파트 놀이터 106동뒤,금연구역
대덕구,법2동,127.43374,36.371468,송촌체육공원 물놀이장,금연구역
대덕구,비래동,127.45516,36.3569,비래동 금성백조1차 어린이놀이시설,금연구역
대덕구,비래동,127.45529,36.35399,비래동 현대(아) 어린이놀이시설,금연구역
대덕구,비래동,127.44821,36.354168,비래동 삼호(아) 어린이놀이시설,금연구역
대덕구,비래동,127.448006,36.35779,비래 금성백조3차 어린이놀이시설,금연구역
대덕구,비래동,127.45303,36.357773,비래 미래아파트 어린이놀이시설,금연구역
대덕구,비래동,127.4526,36.356953,비래 아이조움(아) 어린이놀이시설,금연구역
대덕구,비래동,127.44899,36.355057,비래영아어린이집 실외놀이터,금연구역
대덕구,비래동,127.446655,36.355915,새터어린이공원,금연구역
대덕구,비래동,127.451706,36.355915,원비래어린이공원,금연구역
대덕구,비래동,127.45623,36.35548,삼익둥지아파트 (101동 옆) 놀이터,금연구역
대덕구,비래동,127.45623,36.35548,삼익둥지아파트 (104동 옆) 놀이터,금연구역
대덕구,비래동,127.44854,36.356956,행복색채어린이집놀이터,금연구역
대덕구,석봉동,127.42648,36.447174,망골어린이공원,금연구역
대덕구,석봉동,127.42506,36.45156,등마루어린이공원,금연구역
대덕구,석봉동,127.42388,36.448685,해바라기어린이집 놀이터,금연구역
대덕구,석봉동,127.427605,36.449474,석봉동어린이공원,금연구역
대덕구,송촌동,127.44543,36.360744,송촌 로얄(아) 어린이놀이시설,금연구역
대덕구,송촌동,127.44585,36.3658,선비마을5단지 1번 어린이놀이시설 (501동),금연구역
대덕구,송촌동,127.44585,36.3658,선비마을5단지 2번 어린이놀이시설(503동),금연구역
대덕구,송촌동,127.44585,36.3658,선비마을5단지 3번 어린이놀이시설(504동),금연구역
대덕구,송촌동,127.44585,36.3658,선비마을5단지 4번 어린이놀이시설(517동),금연구역
대덕구,송촌동,127.44494,36.358955,서오어린이집 실외놀이터,금연구역
대덕구,송촌동,127.44585,36.3658,아해뜰어린이집 실외놀이터,금연구역
대덕구,송촌동,127.44654,36.36049,피피쿠스사랑어린이집 실외놀이터,금연구역
대덕구,송촌동,127.439476,36.36187,대양어린이공원,금연구역
대덕구,송촌동,127.44105,36.354065,송촌동 어린이놀이터,금연구역
대덕구,송촌동,127.44311,36.3567,흠통골어린이공원,금연구역
대덕구,송촌동,127.446594,36.365135,여수금어린이공원,금연구역
대덕구,송촌동,127.441124,36.368393,학댕이어린이공원,금연구역
대덕구,송촌동,127.44564,36.362694,진가쟁이어린이공원,금연구역
대덕구,송촌동,127.43961,36.364246,송촌어린이공원,금연구역
대덕구,송촌동,127.44337,36.367794,선비마을4단지 405동 놀이터,금연구역
대덕구,송촌동,127.44337,36.367794,선비마을4단지 408동 놀이터,금연구역
대덕구,송촌동,127.44337,36.367794,선비마을4단지 413동 놀이터,금연구역
대덕구,송촌동,127.44337,36.367794,선비마을4단지 417동 놀이터,금연구역
대덕구,송촌동,127.44031,36.35793,금바위 공원 놀이터,금연구역
대덕구,송촌동,127.43959,36.369946,송촌체육공원 어린이놀이터2,금연구역
대덕구,송촌동,127.44622,36.361317,샬롬어린이집실내놀이터,금연구역
대덕구,송촌동,127.43888,36.369198,선비마을2단지아파트210동옆 어린이놀이터,금연구역
대덕구,신탄진동,127.43503,36.44801,신탄진어린이집 실외놀이터,금연구역
대덕구,신탄진동,127.433,36.45009,용정이어린이공원,금연구역
대덕구,신탄진동,127.43578,36.450096,신탄진어린이공원,금연구역
대덕구,신탄진동,127.43651,36.450687,새여울한신아파트 어린이놀이터,금연구역
대덕구,신탄진동,127.4301,36.44373,신탄진남경어린이놀이터,금연구역
대덕구,신탄진동,127.43282,36.45057,잼버리어린이집 놀이터,금연구역
대덕구,신탄진동,127.43223,36.445976,하늘꿈어린이집,금연구역
대덕구,신탄진동,127.47415,36.456516,로하스 가족공원 모래놀이터B,금연구역
대덕구,신탄진동,127.47415,36.456516,로하스 가족공원 어린이놀이터A,금연구역
대덕구,오정동,127.41383,36.359856,양지마을아파트 어린이놀이터 107동뒤,금연구역
대덕구,오정동,127.41383,36.359856,양지마을아파트 어린이놀이터 102동,금연구역
대덕구,오정동,127.419304,36.349415,한남아파트 놀이터,금연구역
대덕구,오정동,127.40826,36.359695,평화로운아파트 놀이터,금연구역
대덕구,오정동,127.41239,36.360855,신동아아파트 놀이터 6동옆,금연구역
대덕구,오정동,127.41239,36.360855,누리숲어린이집 실외놀이터,금연구역
대덕구,오정동,127.41656,36.346935,새뜸어린이집 실외놀이터,금연구역
대덕구,오정동,127.416885,36.360394,염광어린이집 실외놀이터,금연구역
대덕구,오정동,127.408485,36.352467,노촌어린이공원,금연구역
대덕구,오정동,127.41968,36.350163,영진로얄맨션놀이터,금연구역
대덕구,오정동,127.41768,36.349007,새말어린이공원,금연구역
대덕구,오정동,127.41305,36.354164,통매바위어린이공원,금연구역
대덕구,오정동,127.414215,36.351677,봉촌어린이공원,금연구역
대덕구,오정동,127.41502,36.346104,오정어린이공원,금연구역
대덕구,오정동,127.41828,36.350796,오정어린이집 놀이터,금연구역
대덕구,오정동,127.41643,36.347374,오정동 하나금융 공동직장어린이집,금연구역
대덕구,오정동,127.413734,36.34778,안당어린이집,금연구역
대덕구,오정동,127.41547,36.345287,대덕구청 직장어린이집,금연구역
대덕구,중리동,127.42852,36.35791,중리동 상록아파트 어린이놀이시설,금연구역
대덕구,중리동,127.42339,36.36534,리라어린이집 실외놀이터,금연구역
대덕구,중리동,127.4279,36.356895,사과나무어린이집 실외놀이터,금연구역
대덕구,중리동,127.42955,36.35848,중리어린이집 실외놀이터,금연구역
대덕구,중리동,127.42981,36.357445,나래어린이공원,금연구역
대덕구,중리동,127.423164,36.361145,보라어린이공원,금연구역
대덕구,중리동,127.42769,36.359604,중앙어린이공원,금연구역
대덕구,중리동,127.42178,36.357155,한촌어린이공원,금연구역
대덕구,중리동,127.42156,36.360268,다정어린이공원,금연구역
대덕구,중리동,127.42999,36.36147,만남어린이공원,금연구역
대덕구,중리동,127.429565,36.364502,초원어린이공원,금연구역
대덕구,중리동,127.42344,36.364143,미래어린이공원,금연구역
대덕구,중리동,127.43233,36.363266,초록어린이공원,금연구역
대덕구,중리동,127.43509,36.36476,청솔어린이공원,금연구역
대덕구,중리동,127.42745,36.363155,중리근린공원 놀이터,금연구역
대덕구,중리동,127.43657,36.363533,정려어린이공원,금연구역
대덕구,중리동,127.4343,36.36428,쌍청근린공원놀이터,금연구역
대덕구,회덕동,127.42088,36.399757,신대주공(아) 어린이놀이시설,금연구역
대덕구,회덕동,127.42412,36.395813,연축주공(아) 어린이놀이시설,금연구역
대덕구,회덕동,127.42446,36.401558,와동 현대아파트 놀이터 1,금연구역
대덕구,회덕동,127.420166,36.38046,백송아파트 어린이놀이시설,금연구역
대덕구,회덕동,127.41946,36.378746,대덕어린이집 실외놀이터,금연구역
대덕구,회덕동,127.42373,36.39792,물사랑어린이집 실외놀이터,금연구역
대덕구,회덕동,127.42144,36.376125,읍내어린이놀이터,금연구역
대덕구,회덕동,127.45002,36.415504,장동산림욕장어린이공원,금연구역
대덕구,회덕동,127.42756,36.37773,후곡 소공원,금연구역
대덕구,회덕동,127.42188,36.377243,꿈엔들어린이집 놀이터,금연구역
대덕구,회덕동,127.42446,36.401558,와동 현대아파트 놀이터 107동 옆,금연구역
대덕구,회덕동,127.42364,36.40245,좋은생각어린이집 놀이터,금연구역
대덕구,회덕동,127.42014,36.389847,성우보육원어린이놀이터,금연구역
동구,가양1동,127.442085,36.33893,"갱이쌈지공원, 갱이쉼터",금연구역
동구,가양1동,127.44274,36.34816,매봉어린이공원,금연구역
동구,가양2동,127.449814,36.344284,가팔어린이공원,금연구역
동구,가양2동,127.44832,36.35185,흥룡어린이공원,금연구역
동구,대동,127.45025,36.330692,대동복지관어린이놀이터,금연구역
동구,대동,127.450775,36.33035,대동쉼터어린이놀이터,금연구역
동구,대동,127.447075,36.324062,"대동어린이공원, 대동쉼터",금연구역
동구,대동,127.45032,36.329964,대동어린이놀이터,금연구역
동구,대청동,127.47608,36.357986,주산동어린이놀이터,금연구역
동구,대청동,127.50442,36.36518,세천제1어린이놀이터,금연구역
동구,산내동,127.46712,36.23583,상소동산림욕장,금연구역
동구,산내동,127.46076,36.30183,가오66호근린공원,금연구역
동구,산내동,127.46628,36.281994,낭월3호어린이공원,금연구역
동구,산내동,127.46694,36.27921,낭월4호어린이공원,금연구역
동구,산내동,127.46494,36.278656,낭월7호어린이공원,금연구역
동구,산내동,127.47013,36.278408,낭월8호어린이공원,금연구역
동구,산내동,127.46275,36.276848,대별수변공원,금연구역
동구,산내동,127.45874,36.29891,대성어린이공원,금연구역
동구,산내동,127.48018,36.258156,삼괴동어린이놀이터,금연구역
동구,산내동,127.46909,36.237644,상소오토캠핑장 놀이터,금연구역
동구,산내동,127.46726,36.275246,옥토끼어린이공원,금연구역
동구,성남동,127.43652,36.343674,"성남쌈지공원, 성남쉼터",금연구역
동구,성남동,127.4369,36.348118,성남어린이공원,금연구역
동구,용운동,127.461365,36.329475,도리어린이공원,금연구역
동구,용운동,127.46005,36.32601,선암어린이공원,금연구역
동구,용운동,127.45621,36.333374,용수골어린이공원,금연구역
동구,용운동,127.45532,36.33159,용운어린이집,금연구역
동구,용운동,127.45439,36.333637,도시개발어린이공원,금연구역
동구,용전동,127.43366,36.351395,용전어린이공원,금연구역
동구,용전동,127.43101,36.355457,용전어린이놀이터,금연구역
동구,용전동,127.43043,36.35125,진등어린이공원,금연구역
동구,자양동,127.44937,36.336514,동광어린이공원,금연구역
동구,자양동,127.45121,36.333035,무궁화어린이공원,금연구역
동구,자양동,127.45238,36.339447,안터어린이공원,금연구역
동구,판암1동,127.462715,36.316708,판암어린이공원,금연구역
동구,판암2동,127.453,36.318172,판암근린공원,금연구역
동구,홍도동,127.4209,36.347332,동산어린이공원,금연구역
동구,홍도동,127.422195,36.344517,홍도어린이공원,금연구역
동구,효동,127.45869,36.305874,가오근린공원,금연구역
동구,효동,127.45609,36.310562,가오30호어린이공원,금연구역
동구,효동,127.453636,36.31004,사회복지법인하늘어린이집,금연구역
동구,효동,127.45528,36.307365,가오31호어린이공원,금연구역
서구,가수원동,127.349434,36.30359,도안근린공원,금연구역
서구,가수원동,127.34912,36.28277,도안근린공원유아숲체험원,금연구역
서구,가장동,127.38406,36.32952,들말공원,금연구역
서구,관저2동,127.33051,36.300995,장갓골근린공원,금연구역
서구,관저2동,127.33397,36.298283,신선암근린공원,금연구역
서구,관저2동,127.34248,36.299717,느리울근린공원,금연구역
서구,관저2동,127.33643,36.293686,하늘아래체육공원,금연구역
서구,관저2동,127.34442,36.292427,구봉근린공원,금연구역
서구,내동,127.37518,36.332897,쌈지2공원,금연구역
서구,도마1동,127.385345,36.313324,도마실체육공원,금연구역
서구,도마2동,127.37196,36.31402,쌈지1공원,금연구역
서구,월평3동,127.36284,36.359734,은평근린공원,금연구역
서구,월평3동,127.36284,36.359734,은평근린공원물놀이장,금연구역
서구,탄방동,127.398254,36.345398,남선근린공원,금연구역
유성구,관평동,127.39083,36.42313,윗관들공원(어린이공원 5호),금연구역
유성구,관평동,127.38711,36.4252,대덕테크노밸리7단지아파트 701동어린이놀이터,금연구역
유성구,관평동,127.38711,36.4252,대덕테크노밸리7단지아파트706동어린이놀이시설,금연구역
유성구,관평동,127.38127,36.42027,대덕테크노밸리2단지 204동 어린이놀이터,금연구역
유성구,관평동,127.38127,36.42027,대덕테크노밸리2단지 210동 어린이놀이터,금연구역
유성구,관평동,127.38127,36.42027,대덕테크노밸리2단지 207동유아놀이터,금연구역
유성구,관평동,127.38521,36.419544,대덕테크노밸리4단지아파트어린이놀이터,금연구역
유성구,관평동,127.38521,36.419544,배울골 어린이공원,금연구역
유성구,관평동,127.38718,36.422577,대덕테크노밸리9단지아파트어린이놀이터,금연구역
유성구,관평동,127.38614,36.42176,대덕테크노밸리3단지아파트어린이놀이터,금연구역
유성구,관평동,127.38444,36.42371,대덕테크노밸리8단지8동놀이터,금연구역
유성구,관평동,127.38444,36.42371,대덕테크노밸리8단지관리동놀이터,금연구역
유성구,관평동,127.38348,36.422607,대덕테크노밸리1단지아파트제1어린이놀이터(108동),금연구역
유성구,관평동,127.38348,36.422607,대덕테크노밸리1단지아파트제2어린이놀이터(109동),금연구역
유성구,관평동,127.39074,36.422474,대덕테크노밸리10단지아파트2동어린이놀이터,금연구역
유성구,관평동,127.39074,36.422474,대덕테크노밸리10단지아파트7동놀이터,금연구역
유성구,관평동,127.39074,36.422474,대덕테크노밸리10단지아파트16동놀이터,금연구역
유성구,관평동,127.39104,36.42021,대덕테크노밸리6단지(운암네오미아) 605동 앞 놀이터,금연구역
유성구,관평동,127.39104,36.42021,대덕테크노밸리6단지 607동 옆 어린이놀이터,금연구역
