index,구,행정동,경도,위도,이름,구분
1328,대덕구,대화동,127.40294,36.365295,길림성식당,상권정보
1333,대덕구,대화동,127.4134,36.367393,등나무식당,상권정보
1344,대덕구,대화동,127.40711,36.36602,윤희네해물칼국수,상권정보
1348,대덕구,대화동,127.40294,36.365295,계룡반점,상권정보
1352,대덕구,대화동,127.40387,36.364315,엄니손식당,상권정보
1355,대덕구,대화동,127.414696,36.363335,저이헛치킨,상권정보
1374,대덕구,대화동,127.414696,36.367596,홍서방치킨,상권정보
1379,대덕구,대화동,127.40294,36.365295,바삭토스트,상권정보
1380,대덕구,대화동,127.416046,36.367558,멕시칸대화동체인점식당,상권정보
1391,대덕구,대화동,127.411896,36.36705,식풍경 대화점,상권정보
1392,대덕구,대화동,127.416046,36.367558,멕시칸치킨대화동점 대화동점,상권정보
1401,대덕구,대화동,127.416046,36.367558,맥시칸대화동체인점,상권정보
1402,대덕구,대화동,127.41063,36.36682,공주칼국수쭈구미구이 대화점,상권정보
1403,대덕구,대화동,127.40294,36.365295,공구커피숍,상권정보
1406,대덕구,대화동,127.414375,36.367588,국가대표,상권정보
1408,대덕구,대화동,127.40685,36.365963,한밭식당,상권정보
1413,대덕구,대화동,127.41589,36.367485,리베식당,상권정보
1421,대덕구,대화동,127.41558,36.363094,천북순대,상권정보
1433,대덕구,대화동,127.41523,36.36787,왕애치킨,상권정보
1438,대덕구,대화동,127.412704,36.364388,오이소,상권정보
1448,대덕구,대화동,127.41195,36.3668,캠토 대화점,상권정보
1449,대덕구,대화동,127.41817,36.36849,행복분식식당,상권정보
1457,대덕구,대화동,127.40294,36.365295,카페바이케일립,상권정보
1460,대덕구,대화동,127.41209,36.36722,왕손곱창식당,상권정보
1461,대덕구,대화동,127.41554,36.367584,멕시카나 대전대화점,상권정보
1463,대덕구,대화동,127.41638,36.36741,세원부페,상권정보
1464,대덕구,대화동,127.40294,36.365295,카인드푸드,상권정보
1465,대덕구,대화동,127.40294,36.365295,한양식당,상권정보
1481,대덕구,대화동,127.41241,36.363953,처가집치킨식당,상권정보
1483,대덕구,대화동,127.4159,36.362854,소문난옛날통닭식당,상권정보
1488,대덕구,대화동,127.41694,36.367374,에스피비즈토크,상권정보
1491,대덕구,대화동,127.41578,36.366222,해성식당,상권정보
1492,대덕구,대화동,127.415794,36.367207,고기굽는집,상권정보
1497,대덕구,대화동,127.414375,36.367588,국가대표식당,상권정보
1501,대덕구,대화동,127.40892,36.36837,카페 삼성웰스토리아모레퍼시픽대전,상권정보
1502,대덕구,대화동,127.4159,36.362854,대화막창,상권정보
1503,대덕구,대화동,127.411896,36.36705,국수가땡김,상권정보
1513,대덕구,대화동,127.41322,36.36432,누엘,상권정보
1514,대덕구,대화동,127.40294,36.365295,황해도식당,상권정보
1528,대덕구,대화동,127.41363,36.363697,뭐라고하지,상권정보
1536,대덕구,대화동,127.40604,36.365185,하우푸드,상권정보
1537,대덕구,대화동,127.41692,36.363518,조은수산,상권정보
1558,대덕구,대화동,127.41554,36.367584,오륙도식당,상권정보
1559,대덕구,대화동,127.41282,36.36593,대전원명학교카페마루,상권정보
1560,대덕구,대화동,127.41462,36.367516,오늘국수,상권정보
1567,대덕구,대화동,127.411896,36.36705,대화분식,상권정보
1570,대덕구,대화동,127.41616,36.366325,우리식당,상권정보
1571,대덕구,대화동,127.411896,36.36705,돈해물과백두산이,상권정보
